created_at,id_str,full_text_in_Indonesian,full_text_in_English
2018-01-02 11:58:14+00:00,948161508898357248,Sempena dengan paras sungai di Jerantut &amp; Temerloh semakin naik &amp; risiko banjir  saya kongsikan bebenang berkaitan berdasarkan pengalaman banjir besar 2014. Layankan ..... https://t.co/Hybybo786y,In conjunction with the river level in Jerantut &amp; Temperloh is increasing &amp; I share related threads based on the experience of the 2014 big flood. Serve.... https://t.co/Hybybo786y
2018-01-02 12:26:00+00:00,948168495400751106,Untung lah  buat maksiat besar mana pun Allah tak turunkan bala time tu jugak   Kalau zaman nabi nabi lain  dah banjir teruk dunia nih  bumi terbalik laa,"Fortunately, for any big sin, Allah did not send down the plagues at that time. If at the time of another prophet, the world would have been flooded, the earth would have turned upside down."
2018-01-02 12:28:58+00:00,948169244579004417,Berita palsu susahkan mangsa banjir - Tengku Abdullah  https://t.co/pdpbFcxzeu https://t.co/klNwe6iwa4,Fake news makes flood victims difficult - Tengku Abdullah https://t.co/pdpbFcxzeu https://t.co/klNwe6iwa4
2018-01-02 13:12:27+00:00,948180187937513472,I just bought nasi banjir with kambing for rm5 I love seremban,I just bought nasi flood with goat for rm5 I love seremban
2018-01-02 14:46:13+00:00,948203785653862400,Jumlah mangsa banjir di Pahang terus meningkat kepada 1 331 orang  ditempatkan di 15 buah pusat pemindahan sementara sehingga jam 10 malam tadi - APM https://t.co/Gsk4dn18Le,"The number of flood victims in Pahang continues to increase to 1,331 people placed in 15 temporary resettlement centers as of 10pm last night - APM https://t.co/Gsk4dn18Le"
2018-01-02 16:25:19+00:00,948228723706228736,AYUH KITA BERSAMA MENJAYAKAN MISI BANTUAN MANGSA BANJIR DI MERSING @sajholdings @bestfmmalaysia PADA 3 JAN (9 PAGI - 1 PETANG) DI IBU PEJABAT SAJ RANHILL  LARKIN #muafakatjohor https://t.co/nCVqz9wnnx,LET US TOGETHER MAKE THE MISSION OF ASSISTANCE FOR FLOOD VICTORS IN MERSING @sajholdings @bestfmmalaysia ON 3 JAN (9 AM - 1 PM) AT IBU OFFICIAL SAJ RANHILL LARKIN #muafakatjohor https://t.co/nCVqz9wnnx
2018-01-02 21:54:34+00:00,948311580080447488,Banjir menggenangi dk Mojorembun &amp; Sendangtliko @desamojorembun Air bah ini merupkn akibat sungai Wulung yg meluap https://t.co/CToqujlxcx,Floods inundate Mojorembun &amp; Sendangtliko @desamojorembun This flood was the result of the Wulung river overflowing https://t.co/CToqujlxcx
2018-01-02 23:13:37+00:00,948331476734566400,Wang Ihsan mangsa banjir. https://t.co/a0lxXIkVtx @jpmgov_ @shahidan_kassim @NajibRazak,Wang Ihsan was a flood victim. https://t.co/a0lxXIkVtx @jpmgov_ @shahidan_kassim @NajibRazak
2018-01-03 05:29:27+00:00,948426057257857024,Anggota RELA sedang bertugas membantu mengangkut barangan keperluan di pusat pemindahan banjir SMK Pandan #MisiBantuanBanjir#SetiaBerbakti! @Zahid_Hamidi @alwi_ibrahim59 @zulkifliabidin  @kamarudin_rapig @RazibSRBrians @relamalaysia @relapahang https://t.co/jZWMPcDBwn,RELA members are on duty to help transport necessities at the Pandan Vocational School flood removal center #FloodBanjirMission#SetiaBerbakti! @Zahid_Hamidi @alwi_ibrahim59 @zulkifliabidin @kamarudin_rapig @RazibSRBrians @relamalaysia @relapahang https://t.co/jZWMPcDBwn
2018-01-03 07:55:06+00:00,948462711729344513,RT @SinarOnline : Mangsa pertama banjir Jerantut dipindahkan https://t.co/qKJesp7N90  https://t.co/chFgqM425t,RT @SinarOnline : First victims of Jerantut flood removed https://t.co/qKJesp7N90 https://t.co/chFgqM425t
2018-01-03 07:56:25+00:00,948463043771420673,Sawojajar banjir nya wow @infomalangraya @infomalang @mahasiswamlg @PuspitaFM  Yang sabar sama sawojajar ehhehe https://t.co/V5ItnzPeHS,Sawojajar is flooded wow @infomalangraya @infomalang @mahasiswamlg @PuspitaFM Those who are patient with Sawojajar ehhehe https://t.co/V5ItnzPeHS
2018-01-03 09:06:25+00:00,948480657004646400,KUALA ROMPIN - ​Agihan ​bantuan kepada mangsa banjir perlu adil ​supaya ​tidak berlaku ​ada mangsa yang layak... https://t.co/u7kUEbYgb0,KUALA ROMPIN - ​Aid distribution for flood victims needs to be fair so that it doesn't apply to worthy victims... https://t.co/u7kUEbYgb0
2018-01-03 09:15:51+00:00,948483033312579584,Temerloh dengor cerita dah setait banjir. Aokme jangan ngaruk air karang spok dak buaye. Eroit muka,I've heard stories about the flood. Aokme don't scratch the water of the spok dak buaye coral. Eroit face
2018-01-03 09:22:03+00:00,948484590426996736,Op  Murni 2018.  Penyelam TLDM bersedia memberi bantuan kepada mangsa banjir. @tldm_rasmi @mykamarul @MPA_Barat @yapleong2153 https://t.co/W9XxQubCEX,Op Murni 2018. TLDM divers are willing to provide assistance to flood victims. @tldm_rasmi @mykamarul @MPA_Barat @yapleong2153 https://t.co/W9XxQubCEX
2018-01-03 09:26:51+00:00,948485801343557632,Goner persiapan hok yang menternok natang gaya itik ayam taing banjir ni? Abang koi buat rakit angkuit itik die. Bapok kreatih  semat pulok te.,Goner preparing the hok that menternok natang style of chicken taing flood ducks? Koi's brother made a raft to carry dead ducks. Bapok kreatih semat pulok te.
2018-01-03 09:29:36+00:00,948486492971720704,Penyerahan bantuan dr @BPBDblora kpd korban banjir @desamojorembun diwakili oleh kades Mojorembun. Terima kasih 🙏🙏🙏 https://t.co/uMjvbmCYQR,Delivery of aid from @BPBDblora to flood victims @desamojorembun represented by the village head of Mojorembun. Thank you 🙏🙏🙏 https://t.co/uMjvbmCYQR
2018-01-03 10:52:37+00:00,948507386045636609,Banjir di Pahang makin serius  4 794 orang dipindahkan - Jabatan Kebajikan Masyarakat https://t.co/0eVoRhsIkj,Floods in Pahang become more serious 4 794 people relocated - Jabatan Kebajikan Masyarakat https://t.co/0eVoRhsIkj
2018-01-03 11:34:23+00:00,948517896904421376,Manajernya Jokowi  Elek Yo Band Mulai 'Banjir' Tawaran Manggung  Jusuf Kalla Ikut Pesan - https://t.co/7KgP4mCh2t,Jokowi's Manager Elek Yo Band Starts 'Flood' of Gig Offers Jusuf Kalla Joins Messages - https://t.co/7KgP4mCh2t
2018-01-03 11:49:46+00:00,948521765096992769,haa.yang mana nak sumbangkan apa yg perlu untuk mangsa banjir.sek sek #BANJERO kuantan dah bukak dekat taman kerang.gihhh slalu untuk ringan kan beban mangsa banjir @KuantanTV @Twt_Kuantan https://t.co/sIcc7Xun5x,haa.who wants to donate what is necessary for flood victims.sek sek #BANJERO Kuantan is now open near the clam park.gihhh always lighten the burden of flood victims @KuantanTV @Twt_Kuantan https://t.co/sIcc7Xun5x
2018-01-03 12:40:45+00:00,948534598182449152,Ketika Elek Yo Band Para Menteri Jokowi Banjir Tawaran Manggung https://t.co/ZNznILAKmp https://t.co/YFOCGw9jkK,When Elek Yo Band Jokowi's Ministers Flooded with Gig Offers https://t.co/ZNznILAKmp https://t.co/YFOCGw9jkK
2018-01-03 12:43:36+00:00,948535312543723520,Kerajaan akan pastikan bantuan utk mangsa banjir cukup ; YAB PM @NajibRazak  https://t.co/dryBsjRgWR,The government will ensure that aid for flood victims is sufficient; YAB PM @NajibRazak https://t.co/dryBsjRgWR
2018-01-03 13:18:24+00:00,948544072737685509,Tidak sampai dua jam  air banjir paras lutut https://t.co/skgPu42wZr,In less than two hours the water flooded knee level https://t.co/skgPu42wZr
2018-01-03 13:19:31+00:00,948544352124526593,Petronas bantu mangsa banjir. https://t.co/GtzsKkKnnD,Petronas helps flood victims. https://t.co/GtzsKkKnnD
2018-01-03 13:40:47+00:00,948549706858180609,Anak buah bantu set up Pusat Pemindahan Banjir di Balairaya Tg. Bungor..  Syabas!!!  #setiaberbakti https://t.co/2FDfC9ytZP,Men help set up the Flood Removal Center at Balairaya Tg. Bungor.. Shabas!!! #setiaberbakti https://t.co/2FDfC9ytZP
2018-01-03 14:02:56+00:00,948555280651964417,“@OomNanang: VIDEO KENANGAN Gub DKI Jaman Old menegaskan MASALAH BANJIR BUKAN MASALAH JAKARTA ... ITU KEWENANGAN PEMERINTAH PUSAT. Dia menegaskan JIKA TERPILIH SBG PRESIDEN MAKA SEGALA PERSOALAN DI JAKARTA DAPAT MUDAH TERATASI.   https://t.co/Scj32tYzCm” #HoaxYangMembangun,“@OomNanang: VIDEO MEMORIES OF DKI Governor Jaman Old confirms that the FLOODING PROBLEM IS NOT JAKARTA'S PROBLEM... IT IS THE AUTHORITY OF THE CENTRAL GOVERNMENT. He emphasized that IF YOU ARE ELECTED AS PRESIDENT THEN ALL PROBLEMS IN JAKARTA CAN BE EASILY SOLVED. https://t.co/Scj32tYzCm” #BuildingHoax
2018-01-03 15:06:21+00:00,948571238946893825,Banjir Rob Diprediksi Terjang Sejumah Wilayah Jakarta Hingga 4 Januari https://t.co/l4GuhWlhHQ https://t.co/HKq2K3tuJZ,Rob Flood Predicted to Affect Several Areas of Jakarta Until January 4 https://t.co/l4GuhWlhHQ https://t.co/HKq2K3tuJZ
2018-01-03 15:40:18+00:00,948579780584091648,Bantuan Mangsa banjir sek chung ching #myPPP Seri Kuantan @m_kayveas @helentpg @Mistyteecs https://t.co/zLcdmkEb6X,Help for flood victims sek chung ching #myPPP Kuantan Series @m_kayveas @helentpg @Mistyteecs https://t.co/zLcdmkEb6X
2018-01-03 22:48:32+00:00,948687548624265216,It wouldn't be a party without you #BIGOLIVE &gt; Banjir sudah.    https://t.co/1A15dDb8e0 https://t.co/QXv4AtUGO2,It wouldn't be a party without you #BIGOLIVE &gt; It's flooded. https://t.co/1A15dDb8e0 https://t.co/QXv4AtUGO2
2018-01-04 02:45:14+00:00,948747119032115200,LAPORAN AWALAN BENCANA  Jenis Kejadian : Banjir &amp; Air Melintas di atas Jalan Tarikh Kejadian : 04.01.2018 Daerah... https://t.co/IvUBMSUiFx,DISASTER INITIAL REPORT Type of Event: Flood &amp; Water Passes Over the Road Date of Incident: 04.01.2018 Region... https://t.co/IvUBMSUiFx
2018-01-04 05:03:34+00:00,948781932963229698,Pasca Banjir Bandang  Polisi Bersihkan Lumpur - https://t.co/ka9MoecCdq: https://t.co/XszFN49zRp,After Flash Flood Police Clean Up Mud - https://t.co/ka9MoecCdq: https://t.co/XszFN49zRp
2018-01-04 08:18:08+00:00,948830894323777536,Penugasan Anggota RELA Pekan di Pusat Pemindahan banjir Sk Sinar Mutiara 4/1/2018 #misiBantuanBanjir #setiaBerbakti @NajibRazak @relamalaysia @relapahang @RelaPekan @RazibSRBrians @JannahSaya @zulkifliabidin https://t.co/V7MxszI723,Assignment of RELA Pekan Members to the Sk Sinar Mutiara flood removal center 1/4/2018 #misiBantuanJir #setiaBerbakti @NajibRazak @relamalaysia @relapahang @RelaPekan @RazibSRBrians @JannahAku @zulkifliabidin https://t.co/V7MxszI723
2018-01-04 08:23:07+00:00,948832150219980800,Anggota RELA Pekan sedang membantu memberi sajian makanan kepada mangsa2 banjir di Pusat Pemindahan SK Merchong Jaya #setiaBerbakti #misiBantuanBanjir @RazibSRBrians @JannahSaya @RelaPekan @relapahang @relamalaysia @zulkifliabidin @KPrelamalaysia @Zahid_Hamidi @alwi_ibrahim59 https://t.co/YMtalOfFVz,RELA Pekan members are helping to provide food to flood victims at the SK Merchong Jaya Relocation Center #setiaBerbakti #misiBantuanFanjir @RazibSRBrians @JannahAku @RelaPekan @relapahang @relamalaysia @zulkifliabidin @KPrelamalaysia @Zahid_Hamidi @alwi_ibrahim59 https://t.co/YMtalOfFVz
2018-01-04 09:03:11+00:00,948842234442530816,Banjir di jalan Pagarsih @PRFMnews https://t.co/ntuVUVYHXQ,Flooding on Pagarsih road @PRFMnews https://t.co/ntuVUVYHXQ
2018-01-04 10:30:44+00:00,948864265145892864,Come hangout with me &gt; banjir on #BIGOLIVE https://t.co/3CcHc6sDw0 https://t.co/upCs4qrvuK,Come hang out with me &gt; flood on #BIGOLIVE https://t.co/3CcHc6sDw0 https://t.co/upCs4qrvuK
2018-01-04 11:03:10+00:00,948872428721025024,Uber time banjir be like https://t.co/A9FuZuofxI,Uber time floods be like https://t.co/A9FuZuofxI
2018-01-04 11:42:38+00:00,948882360799342593,YB Dato' Sri Anifah Haji Aman melawat pusat pemindahan banjir di Dewan St Patrick Membakut &amp; Dewan Serbaguna Membakut di Sabah. @pemudakimanis  #theRakyat #UMNOKimanis #AnifahAman #BN #BarisanNasional https://t.co/yNtL1HkNTA,YB Dato' Sri Anifah Haji Aman visited the flood removal center at Dewan St Patrick Membakut &amp; Multi-Purpose Board Bakut in Sabah. @pemudakimanis #theRakyat #UMNOKimanis #AnifahAman #BN #BarisanNational https://t.co/yNtL1HkNTA
2018-01-04 11:50:35+00:00,948884359553011712,Banjir Terjang Kawasan Matang Kuli Aceh  Relawan FPI Datang Salurkan Bantuan https://t.co/7xPM8NaixR,"Floods Hit Matang Kuli Area, Aceh FPI Volunteers Come to Distribute Aid https://t.co/7xPM8NaixR"
2018-01-04 13:17:33+00:00,948906245821382656,Dapat Tugas Wamil yang Lebih Mudah Setelah Terlibat Kasus Ganja  T.O.P Banjir Komentar Nyinyir https://t.co/55Y4AHzVku https://t.co/7zQHqiE6oI,Gets Easier Military Duty After Being Involved in the Marijuana Case
2018-01-04 13:35:32+00:00,948910770493980672,Banjir Dukungan Karena Tolak Pinangan Gerindra Diusung Lawan Gus Ipul dan Khofifah  Yenny… https://t.co/kC9JpGqZgN,Flood of Support Due to Rejection of Gerindra's Proposal Promoted by Opponents Gus Ipul and Khofifah Yenny... https://t.co/kC9JpGqZgN
2018-01-04 13:44:47+00:00,948913100278788097,2 000 kg daging diagih kepada mangsa banjir. Terima kasih Datuk Seri! https://t.co/5f9RiUe6mU,2 000 kg of meat given to flood victims. Thank you Datuk Seri! https://t.co/5f9RiUe6mU
2018-01-04 14:00:28+00:00,948917045017567232,Instagram  Facebook  Twitter Banjir Momen Gerhana https://t.co/FILKaek9HG,Instagram Facebook Twitter Flood of Eclipse Moments https://t.co/FILKaek9HG
2018-01-04 14:32:36+00:00,948925134672297984,Diperkirakan banjir  longsor dan puting beliung masih akan mendominasi bencana selama 2018. Diperkirakan lebih dari 90 persen adalah bencana hidrometerologi  https://t.co/55MPtpparr,It is estimated that landslides and tornadoes will still dominate disasters during 2018. It is estimated that more than 90 percent are hydrometerological disasters https://t.co/55MPtpparr
2018-01-04 14:52:16+00:00,948930080138395649,Mangsa banjir di Johor menurun malam ini https://t.co/O70cW19bi0,Flood victims in Johor decreased tonight https://t.co/O70cW19bi0
2018-01-04 14:59:44+00:00,948931961736675330,PETA RAWAN BENCANA BANJIR LONGSOR KABUPATEN BLORA https://t.co/40aMXiKjrV,MAP OF FLOOD LOSSES DISASTER PROPERTY OF BLORA DISTRICT https://t.co/40aMXiKjrV
2018-01-04 16:55:21+00:00,948961057636212737,This picture was taken mase banjir besar so semua buku pindah naik atas. Then i discovered this. https://t.co/fsfOxFYqLW,This picture was taken during the big flood so all the books were moved upstairs. Then i discovered this. https://t.co/fsfOxFYqLW
2018-01-04 17:05:03+00:00,948963498054139909,Tuanku @cheminahsayang sentiasa bersama mangsa banjir saban tahun..🙏 @shahanizasham ada mana? https://t.co/j1oaFfdg8w,My master @cheminahsayang is always with flood victims every year..🙏 @shahanizasham where is he? https://t.co/j1oaFfdg8w
2018-01-04 17:13:23+00:00,948965595868835840,Pasukan 4 Komp Angkut (Mek) sumbang tenaga bersama petugas2 #banjir &amp; penduduk tempatan dalam menyediakan makanan di PP Wisma Belia  Kuantan untuk diagihkan kepada mangsa2 yg ditempatkan di situ  #Keselamatan  #Kesiagaan  #Kebajikan https://t.co/LxFXWXuY3M,Troop 4 Transportation Company (Mek) contributes energy together with #flood &amp; local residents in providing food at PP Wisma Belia Kuantan to be distributed to victims placed there #Safety #Preparedness #Virtue https://t.co/LxFXWXuY3M
2018-01-04 23:01:00+00:00,949053077448871936,Tak Bersedia Ikut Pilkada Jatim  Yenny Wahid Banjir Dukungan  https://t.co/py8pe50v4J,Not Willing to Participate in East Java Regional Election Yenny Wahid Flood of Support https://t.co/py8pe50v4J
2018-01-05 00:33:59+00:00,949076475671654401,Welcome to the jungle  #tahunbaru #banjir #brotherhood #jjbclub #ayodolan #doyandolan… https://t.co/FPXW6JuTlM,Welcome to the jungle #newyear #banjir #brotherhood #jjbclub #ayodolan #doyandolan… https://t.co/FPXW6JuTlM
2018-01-05 01:04:02+00:00,949084040266596352,@501Awani Keadaan banjir di Seberang Jaya jam 6:45PG tadi https://t.co/PEZe3DSYvG,@501Awani Flood situation in Seberang Jaya at 6:45PM earlier https://t.co/PEZe3DSYvG
2018-01-05 01:05:34+00:00,949084425622511618,@RELA_Kemaman turut memantau dr segi aspek keselamatan. Antara aktiviti yg dianjurkan olh Pihak JKM di Pusat pemindahan banjir SK Bukit Mentok Kemaman kpd kanak-kanak mangsa banjir. @relamalaysia @zulkifliabidin @kamarudin_rapig @RELA_Terengganu @abgzulfikar https://t.co/QV3orSA5Fg,@RELA_Kemaman also monitors safety aspects. One of the activities recommended by JKM at the SK Bukit Mentok Kemaman flood removal center for children who are flood victims. @relamalaysia @zulkifliabidin @kamarudin_rapig @RELA_Terengganu @abgzulfikar https://t.co/QV3orSA5Fg
2018-01-05 01:20:46+00:00,949088249196167170,Anifah lawat mangsa banjir di Membakut - #theRakyat https://t.co/ecARS80Is8,Anifah visits flood victims in Membakut - #theRakyat https://t.co/ecARS80Is8
